boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.787164 Main     engine.cpp:111] Engine: Listen on /tmp/slog/ipc/engine.sock for IPC connections
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.787507 Main     server_base.cpp:186] ServerBase: Listen on 10.0.16.70:21581 for message connections
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.788782 Srv/EL   thread.cpp:62] Start thread: Srv/EL (tid=20)
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.788850 Srv/EL   server_base.cpp:118] ServerBase: Event loop starts
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.789104 ZK/EL    view.cpp:31] View 0 has 1 physical logs
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.789257 IO-0/EL  io_uring.cpp:123] io_uring[0]: register fd 25, 3 registered fds in total
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.789291 IO-0/EL  buffer_pool.h:26] BufferPool[IOUring[0]-0]: Allocate new buffer, current buffer count is 3
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.789303 IO-0/EL  io_worker.cpp:101] IO-0: New connection of type 1048580, total of type 1048580 is 1
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.789319 ZK/EL    engine_base.cpp:535] LogEngineBase: Received statistics thread activation command
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.789378 BG_ST    thread.cpp:62] Start thread: BG_ST (tid=21)
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.789953 ZK/EL    node_watcher.cpp:83] Seen new node index_1 with address 10.0.16.62:26365
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.790055 ZK/EL    node_watcher.cpp:83] Seen new node sequencer_1 with address 10.0.16.53:20685
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.790138 ZK/EL    node_watcher.cpp:83] Seen new node sequencer_3 with address 10.0.16.51:29026
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.790221 ZK/EL    node_watcher.cpp:83] Seen new node storage_1 with address 10.0.16.61:26439
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.790339 ZK/EL    node_watcher.cpp:83] Seen new node sequencer_2 with address 10.0.16.50:20333
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | PC: @     0x7f346c80e24b  (unknown)  raise
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.790417 ZK/EL    node_watcher.cpp:83] Seen new node aggregator_1 with address 10.0.16.57:23458
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | Invoke 4 clean-up functions
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.790520 ZK/EL    node_watcher.cpp:83] Seen new node engine_1 with address 10.0.16.70:21581
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | Cleaning up io_uring[0]
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.790614 ZK/EL    node_watcher.cpp:83] Seen new node gateway with address 10.0.16.55:23514
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | Cleaning up io_uring[1]
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.790663 IO-0/EL  io_uring.cpp:123] io_uring[0]: register fd 28, 4 registered fds in total
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | Cleaning up io_uring[2]
boki-experiment_slog-engine.1.st6wetv6ivi3@christina    | I0801 16:35:50.790678 IO-0/EL  io_uring.cpp:123] io_uring[0]: register fd 29, 5 registered fds in total
boki-experiment_slog-engine.1.twcdtlkmxbfq@christina    | Cleaning up io_uring[3]
